small-time buccaneer	patches the pirate	7335	3.4	null
small-time buccaneer	the coin	6321	0.0	null
tunnel trogg	totem golem	4270	0.4	null
the coin	patches the pirate	4129	0.0	null
n'zoth's first mate	patches the pirate	3953	0.4	null
tunnel trogg	jade claws	3506	0.4	null
the coin	tunnel trogg	3326	0.0	null
small-time buccaneer	southsea deckhand	3172	4.4	null
n'zoth's first mate	the coin	3157	0.0	null
the coin	azure drake	3112	0.0	null
the coin	southsea deckhand	2908	0.0	null
tunnel trogg	flametongue totem	2895	0.0	null
small-time buccaneer	azure drake	2887	0.0	null
small-time buccaneer	tunnel trogg	2878	0.0	null
n'zoth's first mate	fiery war axe	2840	1.0	null
n'zoth's first mate	small-time buccaneer	2816	1.4	null
small-time buccaneer	swashburglar	2814	0.4	null
swashburglar	backstab	2765	0.0	null
tunnel trogg	lightning bolt	2752	0.4	null
tunnel trogg	spirit claws	2660	0.0	null
swashburglar	patches the pirate	2655	2.4	null
tunnel trogg	maelstrom portal	2647	0.0	null
tunnel trogg	jade lightning	2608	0.0	null
small-time buccaneer	spirit claws	2607	1.0	null
the coin	fiery war axe	2582	0.0	null
n'zoth's first mate	frothing berserker	2499	0.0	null
tunnel trogg	feral spirit	2494	0.4	null
small-time buccaneer	small-time buccaneer	2490	0.7	null
swashburglar	the coin	2490	0.0	null
southsea deckhand	n'zoth's first mate	2378	1.4	null
the coin	totem golem	2352	0.0	null
southsea deckhand	patches the pirate	2344	0.4	null
small-time buccaneer	backstab	2320	0.0	null
the coin	jade claws	2308	0.0	null
n'zoth's first mate	kor'kron elite	2267	0.0	null
n'zoth's first mate	upgrade!	2230	1.0	null
small-time buccaneer	jade claws	2163	1.0	null
swashburglar	eviscerate	2145	0.0	null
n'zoth's first mate	bloodsail raider	2142	1.4	null
jade idol	wild growth	2112	0.0	null
tunnel trogg	patches the pirate	2111	0.0	null
n'zoth's first mate	bloodsail cultist	2068	1.4	null
wild growth	innervate	1981	0.0	null
sir finley mrrgglton	the coin	1980	0.0	null
small-time buccaneer	fiery war axe	1957	1.0	null
tunnel trogg	azure drake	1907	0.0	null
small-time buccaneer	eviscerate	1880	0.0	null
tunnel trogg	flamewreathed faceless	1862	0.4	null
n'zoth's first mate	dread corsair	1855	1.4	null
sir finley mrrgglton	n'zoth's first mate	1808	0.0	null
spirit claws	the coin	1807	0.0	null
wild growth	wrath	1797	0.0	null
jade idol	innervate	1795	0.0	null
the coin	maelstrom portal	1791	0.0	null
jade idol	the coin	1769	0.0	null
small-time buccaneer	flametongue totem	1748	0.0	null
jade idol	jade blossom	1738	0.0	null
sir finley mrrgglton	small-time buccaneer	1732	0.0	null
the coin	wild growth	1726	0.0	null
northshire cleric	twilight whelp	1699	0.0	null
swashburglar	cold blood	1689	0.0	null
small-time buccaneer	totem golem	1686	0.0	null
sir finley mrrgglton	patches the pirate	1683	0.0	null
doomsayer	the coin	1665	0.0	null
the coin	innervate	1664	0.0	null
n'zoth's first mate	heroic strike	1653	0.0	null
swashburglar	azure drake	1640	0.0	null
acidic swamp ooze	the coin	1602	0.0	null
small-time buccaneer	tomb pillager	1594	0.0	null
the coin	jade lightning	1581	0.0	null
jade idol	wrath	1579	0.0	null
tunnel trogg	tunnel trogg	1577	0.2	null
small-time buccaneer	jade lightning	1573	0.0	null
the coin	bloodsail raider	1548	0.0	null
spirit claws	jade claws	1545	1.0	null
n'zoth's first mate	arcanite reaper	1538	1.0	null
wild growth	living roots	1537	0.0	null
tunnel trogg	southsea deckhand	1536	0.0	null
small-time buccaneer	cold blood	1532	0.0	null
small-time buccaneer	frothing berserker	1500	0.0	null
upgrade!	the coin	1478	0.0	null
wyrmrest agent	twilight whelp	1470	0.0	null
the coin	frothing berserker	1455	0.0	null
wyrmrest agent	northshire cleric	1452	0.0	null
wild growth	swipe	1451	0.0	null
swashburglar	tomb pillager	1430	0.0	null
swashburglar	si:7 agent	1430	0.0	null
small-time buccaneer	preparation	1428	0.0	null
the coin	bloodmage thalnos	1420	0.0	null
small-time buccaneer	kor'kron elite	1413	3.0	null
netherspite historian	twilight whelp	1407	0.0	null
spirit claws	maelstrom portal	1406	0.0	null
small-time buccaneer	fan of knives	1400	0.0	null
totem golem	jade claws	1399	0.4	null
the coin	lightning bolt	1397	0.0	null
raven idol	wild growth	1388	0.0	null
the coin	jade spirit	1386	0.0	null
tunnel trogg	lava burst	1385	0.4	null
small-time buccaneer	upgrade!	1376	1.0	null
the coin	mistress of mixtures	1374	0.0	null
the coin	wrath	1361	0.0	null
southsea deckhand	swashburglar	1358	0.4	null
small-time buccaneer	maelstrom portal	1354	0.0	null
backstab	the coin	1353	0.0	null
twilight whelp	drakonid operative	1349	0.0	null
living roots	jade idol	1348	0.0	null
spirit claws	totem golem	1329	0.0	null
northshire cleric	netherspite historian	1327	0.0	null
the coin	flametongue totem	1312	0.0	null
jade idol	swipe	1307	0.0	null
swashburglar	fan of knives	1304	0.0	null
spirit claws	jade lightning	1296	0.0	null
swashburglar	preparation	1290	0.0	null
the coin	feral spirit	1287	0.0	null
jade idol	jade behemoth	1281	0.0	null
small-time buccaneer	lightning bolt	1275	0.0	null
northshire cleric	power word: shield	1267	0.0	null
the coin	kor'kron elite	1249	0.0	null
the coin	dread corsair	1237	0.0	null
small-time buccaneer	feral spirit	1230	0.0	null
tunnel trogg	thing from below	1221	0.0	null
northshire cleric	drakonid operative	1219	0.0	null
small-time buccaneer	bloodsail raider	1206	1.4	null
the coin	swipe	1206	0.0	null
small-time buccaneer	flamewreathed faceless	1204	0.0	null
jade idol	jade spirit	1203	0.0	null
sir finley mrrgglton	southsea deckhand	1197	0.0	null
small-time buccaneer	bloodmage thalnos	1190	0.0	null
northshire cleric	the coin	1183	0.0	null
living roots	innervate	1181	0.0	null
raven idol	innervate	1180	0.0	null
wild growth	nourish	1180	0.0	null
the coin	brann bronzebeard	1173	0.0	null
living roots	the coin	1171	0.0	null
twilight whelp	twilight guardian	1159	0.0	null
small-time buccaneer	bloodsail cultist	1157	1.4	null
jade claws	maelstrom portal	1157	0.0	null
small-time buccaneer	dread corsair	1148	1.4	null
spirit claws	flametongue totem	1143	0.0	null
wild growth	azure drake	1141	0.0	null
northshire cleric	kabal talonpriest	1131	0.0	null
spirit claws	patches the pirate	1124	3.0	null
wrath	innervate	1099	0.0	null
jade idol	jade idol	1097	0.0	null
swashburglar	swashburglar	1091	0.2	null
the coin	bloodsail cultist	1085	0.0	null
wild growth	feral rage	1081	0.0	null
jade claws	jade lightning	1079	0.0	null
small-time buccaneer	si:7 agent	1077	0.0	null
the coin	heroic strike	1071	0.0	null
fiery war axe	patches the pirate	1070	0.0	null
twilight whelp	the coin	1067	0.0	null
northshire cleric	shadow word: pain	1061	0.0	null
sir finley mrrgglton	fiery war axe	1050	0.0	null
tunnel trogg	hex	1050	0.0	null
swashburglar	edwin vancleef	1049	2.0	null
twilight whelp	power word: shield	1041	0.0	null
tunnel trogg	bloodmage thalnos	1020	0.0	null
small-time buccaneer	sap	1017	0.0	null
small-time buccaneer	lava burst	1017	0.0	null
totem golem	maelstrom portal	1011	0.0	null
the coin	jade blossom	1011	0.0	null
small-time buccaneer	heroic strike	1011	0.0	null
spirit claws	azure drake	1010	0.0	null
jade idol	feral rage	1002	0.0	null
small-time buccaneer	counterfeit coin	997	0.0	null
twilight whelp	kabal talonpriest	987	0.0	null
swashburglar	sap	985	0.0	null
raven idol	wrath	974	0.0	null
jade idol	azure drake	971	0.0	null
small-time buccaneer	arcanite reaper	970	1.0	null
sir finley mrrgglton	tunnel trogg	968	0.0	null
small-time buccaneer	gadgetzan auctioneer	961	0.0	null
northshire cleric	twilight guardian	960	0.0	null
jade idol	nourish	959	0.0	null
mana wyrm	frostbolt	952	0.0	null
n'zoth's first mate	n'zoth's first mate	951	0.7	null
small-time buccaneer	conceal	949	0.0	null
flame imp	voidwalker	947	0.4	null
raven idol	living roots	947	0.0	null
the coin	wyrmrest agent	944	0.0	null
mistress of mixtures	doomsayer	942	0.0	null
small-time buccaneer	questing adventurer	941	0.0	null
small-time buccaneer	edwin vancleef	940	0.0	null
tunnel trogg	lightning storm	936	0.4	null
living roots	wrath	933	0.0	null
swashburglar	counterfeit coin	930	0.0	null
wyrmrest agent	netherspite historian	925	0.0	null
spirit claws	lightning bolt	923	0.0	null
n'zoth's first mate	mortal strike	922	0.0	null
totem golem	jade lightning	921	0.0	null
n'zoth's first mate	southsea captain	917	0.4	null
tunnel trogg	aya blackpaw	917	0.0	null
totem golem	lightning bolt	916	0.4	null
sorcerer's apprentice	mana wyrm	916	0.0	null
twilight whelp	blackwing corruptor	907	0.0	null
the coin	netherspite historian	906	0.0	null
the coin	flamewreathed faceless	903	0.0	null
totem golem	flametongue totem	898	0.4	null
southsea deckhand	fiery war axe	895	1.0	null
the coin	twilight guardian	888	0.0	null
the coin	arcanite reaper	885	0.0	null
twilight whelp	shadow word: pain	876	0.0	null
spirit claws	feral spirit	875	1.0	null
swashburglar	bluegill warrior	872	0.0	null
the coin	nourish	859	0.0	null
acolyte of pain	the coin	855	0.0	null
wild growth	jade blossom	853	0.0	null
swashburglar	gadgetzan auctioneer	852	0.0	null
the coin	aya blackpaw	846	0.0	null
babbling book	the coin	845	0.0	null
northshire cleric	blackwing corruptor	834	0.0	null
raven idol	jade idol	827	0.0	null
raven idol	swipe	823	0.0	null
the coin	feral rage	816	0.0	null
swashburglar	questing adventurer	814	2.0	null
spirit claws	southsea deckhand	812	4.0	null
small-time buccaneer	leeroy jenkins	812	3.0	null
babbling book	frostbolt	806	0.0	null
the coin	frostbolt	803	0.0	null
upgrade!	southsea deckhand	792	4.0	null
wyrmrest agent	drakonid operative	791	0.0	null
mana wyrm	fireball	789	0.0	null
swashburglar	conceal	788	0.0	null
the coin	hex	786	0.0	null
babbling book	fireball	786	0.0	null
northshire cleric	shadow word: death	778	0.0	null
mana wyrm	arcane intellect	778	0.0	null
raven idol	the coin	776	0.0	null
patches the pirate	backstab	773	0.0	null
the coin	jade behemoth	769	0.0	null
sir finley mrrgglton	kor'kron elite	763	0.0	null
innervate	swipe	760	0.0	null
mana tide totem	jade claws	759	0.0	null
voidwalker	the coin	752	0.0	null
totem golem	feral spirit	751	0.4	null
mana wyrm	arcane missiles	746	0.0	null
the coin	bluegill warrior	746	0.0	null
spirit claws	bloodmage thalnos	743	0.0	null
innervate	jade blossom	743	0.0	null
sir finley mrrgglton	frothing berserker	741	0.0	null
wild growth	jade behemoth	740	0.0	null
spirit claws	thing from below	738	1.0	null
living roots	swipe	737	0.0	null
sir finley mrrgglton	bloodsail raider	736	0.0	null
the coin	lightning storm	732	0.0	null
jade claws	azure drake	731	0.0	null
totem golem	azure drake	730	0.0	null
tunnel trogg	mana tide totem	730	0.0	null
mana wyrm	flamewaker	730	0.0	null
the coin	dark peddler	727	0.0	null
twilight whelp	azure drake	726	0.0	null
jade claws	hex	724	0.0	null
upgrade!	sir finley mrrgglton	722	0.0	null
the coin	kazakus	718	0.0	null
swashburglar	murloc warleader	718	0.0	null
spirit claws	hex	717	1.0	null
dark peddler	voidwalker	715	0.0	null
the coin	dirty rat	711	0.0	null
tomb pillager	the coin	711	0.0	null
the coin	eviscerate	704	0.0	null
the coin	thing from below	701	0.0	null
jade claws	flametongue totem	699	0.0	null
twilight whelp	shadow word: death	691	0.0	null
spirit claws	flamewreathed faceless	690	0.0	null
argent squire	the coin	689	0.0	null
the coin	lava burst	687	0.0	null
jade claws	thing from below	684	0.0	null
swashburglar	argent squire	683	0.0	null
the coin	loot hoarder	682	0.0	null
bloodsail raider	southsea deckhand	681	1.4	null
the coin	blackwing corruptor	678	0.0	null
backstab	eviscerate	678	0.0	null
