small-time buccaneer	patches the pirate	7335
small-time buccaneer	the coin	6321
tunnel trogg	totem golem	4270
the coin	patches the pirate	4129
n'zoth's first mate	patches the pirate	3953
tunnel trogg	jade claws	3506
the coin	tunnel trogg	3326
small-time buccaneer	southsea deckhand	3172
n'zoth's first mate	the coin	3157
the coin	azure drake	3112
the coin	southsea deckhand	2908
tunnel trogg	flametongue totem	2895
small-time buccaneer	azure drake	2887
small-time buccaneer	tunnel trogg	2878
n'zoth's first mate	fiery war axe	2840
n'zoth's first mate	small-time buccaneer	2816
small-time buccaneer	swashburglar	2814
swashburglar	backstab	2765
tunnel trogg	lightning bolt	2752
tunnel trogg	spirit claws	2660
swashburglar	patches the pirate	2655
tunnel trogg	maelstrom portal	2647
tunnel trogg	jade lightning	2608
small-time buccaneer	spirit claws	2607
the coin	fiery war axe	2582
n'zoth's first mate	frothing berserker	2499
tunnel trogg	feral spirit	2494
small-time buccaneer	small-time buccaneer	2490
swashburglar	the coin	2490
southsea deckhand	n'zoth's first mate	2378
the coin	totem golem	2352
southsea deckhand	patches the pirate	2344
small-time buccaneer	backstab	2320
the coin	jade claws	2308
n'zoth's first mate	kor'kron elite	2267
n'zoth's first mate	upgrade!	2230
small-time buccaneer	jade claws	2163
swashburglar	eviscerate	2145
n'zoth's first mate	bloodsail raider	2142
jade idol	wild growth	2112
tunnel trogg	patches the pirate	2111
n'zoth's first mate	bloodsail cultist	2068
wild growth	innervate	1981
sir finley mrrgglton	the coin	1980
small-time buccaneer	fiery war axe	1957
tunnel trogg	azure drake	1907
small-time buccaneer	eviscerate	1880
tunnel trogg	flamewreathed faceless	1862
n'zoth's first mate	dread corsair	1855
sir finley mrrgglton	n'zoth's first mate	1808
spirit claws	the coin	1807
wild growth	wrath	1797
jade idol	innervate	1795
the coin	maelstrom portal	1791
jade idol	the coin	1769
small-time buccaneer	flametongue totem	1748
jade idol	jade blossom	1738
sir finley mrrgglton	small-time buccaneer	1732
the coin	wild growth	1726
northshire cleric	twilight whelp	1699
swashburglar	cold blood	1689
small-time buccaneer	totem golem	1686
sir finley mrrgglton	patches the pirate	1683
doomsayer	the coin	1665
the coin	innervate	1664
n'zoth's first mate	heroic strike	1653
swashburglar	azure drake	1640
acidic swamp ooze	the coin	1602
small-time buccaneer	tomb pillager	1594
the coin	jade lightning	1581
jade idol	wrath	1579
tunnel trogg	tunnel trogg	1577
small-time buccaneer	jade lightning	1573
the coin	bloodsail raider	1548
spirit claws	jade claws	1545
n'zoth's first mate	arcanite reaper	1538
wild growth	living roots	1537
tunnel trogg	southsea deckhand	1536
small-time buccaneer	cold blood	1532
small-time buccaneer	frothing berserker	1500
upgrade!	the coin	1478
wyrmrest agent	twilight whelp	1470
the coin	frothing berserker	1455
wyrmrest agent	northshire cleric	1452
wild growth	swipe	1451
swashburglar	tomb pillager	1430
swashburglar	si:7 agent	1430
small-time buccaneer	preparation	1428
the coin	bloodmage thalnos	1420
small-time buccaneer	kor'kron elite	1413
netherspite historian	twilight whelp	1407
spirit claws	maelstrom portal	1406
small-time buccaneer	fan of knives	1400
totem golem	jade claws	1399
the coin	lightning bolt	1397
raven idol	wild growth	1388
the coin	jade spirit	1386
tunnel trogg	lava burst	1385
